tour,spring,summer,autumn,winter
서천생태공원,1,0,1,0
오륙도해맞이공원,1,0,0,0
영덕해파랑공원,1,1,1,1
화산산성,0,1,1,0
남산계곡,0,1,0,0
반암해수욕장,0,1,0,0
빛고을농촌테마공원,1,1,1,0
석남사계곡,0,1,0,0
지경리해수욕장,0,1,0,0
군자산,1,1,1,0
신어산,1,0,1,0
청화산,1,1,1,0
나비공원,1,1,0,0
석수체육공원,1,1,1,0
솔찬공원,1,1,1,0
연곡해수욕장,0,1,0,0
황장산,1,1,1,0
금당계곡,0,1,0,0
샛별해수욕장,1,1,0,0
대암산,1,1,1,1
무지개폭포,0,1,0,0
백암산,1,0,1,1
장령산,1,1,0,0
재약산,0,0,1,1
삼성현역사문화공원,1,1,1,0
소리산,0,1,1,0
충현역사공원,1,1,1,1
금강로하스산호빛공원,0,0,1,0
소정방폭포,1,1,1,0
대덕산,1,1,1,1
본포수변생태공원,0,1,1,0
삼봉산,0,1,0,0
안터생태공원,0,1,1,0
천미계곡,0,1,0,0
궁평해수욕장,1,1,1,0
서소문역사공원,1,1,1,0
황정산,0,1,1,0
서호공원,1,0,0,0
양촌유원지,0,1,0,0
판교공원,1,1,1,0
공지천유원지,1,1,1,0
거림계곡,0,1,0,0
남호해수욕장,0,1,0,0
안양공원,1,1,1,0
우두산,1,0,1,1
천주산,1,0,0,0
평화누리공원,1,1,1,0
남천계곡,0,1,0,0
위봉폭포,1,1,1,0
이충레포츠공원,1,1,0,0
진동계곡,0,1,0,0
한강신도시호수공원,1,1,1,0
마장리계곡,0,1,0,0
마루공원,1,0,1,1
불갑산,0,1,1,0
수완호수공원,1,1,1,0
한라생태숲,1,0,1,0
병암유원지,0,1,1,0
봉화산옹기테마공원,0,1,1,0
설악산소공원,0,1,1,0
조금나루해수욕장,0,1,1,0
회룡포전망대,0,1,1,0
수문해수욕장,0,1,1,0
아라폭포,0,1,1,0
부안영상테마파크,1,1,1,0
어성전계곡,0,1,0,0
노봉해수욕장,0,1,0,0
돈내코계곡,0,1,0,0
부락산문화공원,1,1,1,0
인구해수욕장,1,1,1,0
화명생태공원,1,0,1,0
감추해수욕장,0,1,0,0
깊이울계곡,0,1,0,0
대야성,1,1,0,1
율포해수욕장,1,1,0,0
태조산공원,1,1,1,0
수기해수욕장,1,1,1,0
신남해수욕장,0,1,0,0
연지공원,1,0,0,0
이현공원,1,1,1,0
백화산,1,1,1,0
장충단공원,1,1,1,0
김포국제조각공원,0,1,1,0
북면계곡,0,1,0,0
안양새물공원,1,1,1,0
중원고구려비,1,0,1,0
학가산,0,1,1,0
검멀레해수욕장,0,1,0,0
대저생태공원,1,0,1,0
평사리공원,1,1,1,0
삼천포대교공원,0,1,1,0
송정박상진호수공원,0,1,1,0
쉬리공원,1,1,1,0
유아숲체험원,1,1,1,0
달맞이공원,1,1,1,0
송림공원,1,1,1,0
우암사적공원,1,1,1,0
파주카트랜드,0,0,1,0
칼봉산,1,1,1,1
풍암호수공원,1,1,1,0
기러기공원,0,1,1,0
스포원파크,1,0,1,0
덕숭산,1,0,1,1
옥정중앙공원,1,1,1,0
다산공원,1,1,1,0
상무시민공원,1,1,1,0
씨사이드파크,1,1,0,0
미로공원,1,1,1,0
사육신공원,1,1,1,0
원주수변공원,1,1,1,0
진해루해변공원,1,1,0,0
백석폭포,0,1,1,0
설봉산,0,0,0,1
체육공원,1,1,1,0
백덕산,0,1,1,1
십이폭포,0,1,0,0
유달산조각공원,1,1,1,0
백악산,1,0,0,0
상보안유원지,1,1,1,0
싱계물공원,1,0,0,1
오봉산해수욕장,1,1,1,0
문동폭포,0,1,0,0
경포도립공원,1,1,1,0
천등산,1,1,1,0
호룡곡산,1,0,1,0
홍룡폭포,1,1,1,0
황계폭포,0,1,0,0
보현산,1,0,1,0
수성유원지,1,1,1,0
안수산,1,1,1,1
제주어린이교통공원,0,1,1,1
만골근린공원,1,0,1,0
양산수질정화공원,1,1,1,0
함평양서파충류생태공원,0,1,0,0
후정해수욕장,1,1,0,0
대성리국민관광지,1,1,0,0
필봉산,1,1,1,0
엄미리계곡,0,1,0,0
예당호중앙생태공원,0,1,1,0
적석산,1,0,1,1
평화랜드,1,0,1,0
남양주한강공원,1,1,1,0
북분리해수욕장,0,1,0,0
신라밀레니엄파크,1,1,1,0
수지생태공원,1,1,1,0
홍예공원,0,0,1,0
남선공원,1,1,0,1
도원리계곡,0,1,0,0
조천연꽃공원,0,1,0,0
청평유원지,1,1,0,0
화순고인돌공원,1,1,1,0
환호공원,1,0,1,1
5.18기념공원,1,1,1,0
벽운계곡,0,1,0,0
불일폭포,0,1,1,0
중외공원,1,0,0,0
난지도해수욕장,0,1,0,0
대전해수욕장,0,1,0,0
대청공원,1,0,1,0
율하체육공원,1,1,1,0
늘솔길공원,1,0,1,1
비산체육공원,1,1,1,0
주전몽돌해수욕장,0,1,1,0
추월산,0,0,1,0
대장동계곡,0,1,0,0
밀리터리테마파크,0,1,1,0
송추유원지,1,1,0,0
피아골계곡,0,1,0,0
검룡소,1,1,1,1
이순신순국공원,1,1,1,0
청석공원,1,1,1,0
간데메공원,1,1,1,0
대가천계곡,0,1,0,0
봉수산,1,1,1,0
남매공원,0,1,1,0
물안개공원,1,1,1,0
종달리해변,1,1,1,0
천불동계곡,0,1,1,0
비둘기공원,1,1,1,0
중원산,0,1,0,0
남한산성도립공원,0,1,1,0
쌈지공원,1,1,1,0
충주탄금호물놀이장,0,1,0,0
홍주성,1,1,1,0
모래미해수욕장,1,1,1,0
영취산,1,0,0,0
인공폭포,1,1,1,0
조각공원,1,0,1,0
봉래폭포,1,1,1,0
남애1리해수욕장,0,1,0,0
짱뚱어해수욕장,1,1,1,0
초도해수욕장,0,1,0,0
화야산,1,1,0,0
갈산공원,1,0,0,0
나무고아원,1,0,1,0
백사장해수욕장,0,1,1,0
학동공원,1,1,1,0
광주어린이대공원,1,0,1,0
무흘구곡,1,1,0,0
수영사적공원,1,0,1,0
적상산,0,1,1,0
지장산,0,1,0,1
오산공원,1,1,1,0
장흥조각공원,1,1,1,0
구룡계곡,0,1,0,0
도계유리나라,0,1,1,0
용골산,1,1,1,0
검산,1,1,1,1
두리생태공원,1,1,1,0
명지공원,1,1,1,0
한강공원삼패지구,1,1,1,0
건원릉,1,1,1,1
뇌운계곡,0,1,0,0
무궁화공원,1,1,1,0
삼랑진생태문화공원,1,1,1,0
성거산,1,1,1,0
익금해수욕장,0,1,0,0
파리공원,1,0,0,0
과일나라테마공원,0,1,1,0
남원큰엉해변,1,1,0,0
모란공원,1,0,1,1
신세동벽화마을,0,1,1,0
연화계곡,0,1,0,0
의좋은형제공원,0,1,1,0
직동근린공원,1,1,1,0
청학수변공원,1,1,1,0
달빛공원,0,1,1,0
등선폭포,0,1,1,0
산정랜드,1,1,1,0
새빛공원,1,1,1,0
서희테마파크,0,1,1,0
석룡산,0,1,0,0
수림공원,1,0,1,0
안면해수욕장,1,1,1,0
청계동계곡,0,1,0,0
금학산,0,1,1,0
미산계곡,0,1,0,0
쌍학계곡,0,1,0,0
천사섬분재공원,0,1,0,1
천호공원,1,1,1,0
UN기념공원,1,1,1,0
동백공원,0,1,1,0
의룡계곡,0,1,0,0
중문미로파크,1,1,1,1
청담공원,1,1,1,0
단경골계곡,0,1,0,0
반송공원,1,1,1,0
서곶근린공원,1,1,0,0
고덕산,1,1,1,0
물빛공원,1,1,1,0
불영사계곡,0,1,0,0
음포해수욕장,0,1,1,0
통일동산,0,0,1,0
매탄공원,1,1,1,0
서포리해수욕장,0,1,1,0
안면도쥬라기공원,1,1,1,0
하트해변,0,1,1,0
성남계곡,0,1,0,0
융릉,1,0,1,1
의항해수욕장,0,1,1,0
절골계곡,0,1,1,0
대성산,1,1,1,1
무척산,1,0,1,1
애견공원,1,1,1,0
황성공원,0,1,1,0
깊이울유원지,0,1,1,0
낙산도립공원,1,1,1,0
부용산,1,1,1,1
용흥사계곡,0,1,0,0
청계계곡,0,1,0,0
감암산,1,1,1,0
고척근린공원,1,1,1,0
금학생태공원,0,1,1,1
양자산,1,1,1,0
칠봉산,0,1,0,0
부산솔로몬로파크,1,1,1,0
송현근린공원,1,1,1,0
오천성,1,1,1,0
장복산,1,0,0,0
조례호수공원,0,1,1,0
흑성산,0,0,1,1
달무리수변공원,1,1,1,0
상원사동종,1,1,1,1
청초호호수공원,1,1,1,0
만덕산,0,0,1,1
김인전공원,1,1,1,0
문암해수욕장,0,1,0,0
캐릭파크,0,1,1,0
함박산,1,0,0,1
화순금모래해수욕장,0,1,1,0
후포해수욕장,0,1,0,0
달빛쌈지공원,0,1,1,0
덕산계곡,0,1,0,0
만수산,1,0,0,1
석천계곡,0,1,0,0
성정공원,1,1,1,0
신덕해수욕장,0,1,0,0
주작산,1,0,1,0
죽도공원,0,1,1,0
칠연계곡,0,1,0,0
홍류동계곡,0,1,1,0
황병산,1,0,0,1
강촌테마랜드,1,1,1,0
쌍암공원,1,0,1,0
용두공원,1,1,1,0
청계사계곡,0,1,0,0
경주읍성,1,0,1,1
광교공원,1,1,1,0
서리산,1,0,0,0
서울광장,1,0,0,1
웨스트사이드,1,0,0,1
은구비공원,1,1,1,0
청라지구생태공원,0,1,1,0
탁사정,0,1,0,0
유학산,1,0,1,1
경산공원,1,1,1,0
고골계곡,0,1,0,0
구미공원,1,0,1,0
백아산,1,0,1,1
서운체육공원,1,0,1,0
송정공원,1,1,1,0
순담계곡,1,0,1,1
중계근린공원,1,1,1,0
갈마공원,1,1,0,0
굴암산,1,1,1,1
달성습지생태학습관,0,1,1,0
문화공원,1,1,1,0
병풍산,0,0,1,1
수도산,1,1,1,0
군산어린이교통공원,0,1,1,0
금당산,1,0,0,1
대발이파크,1,1,1,0
사라온이야기마을,0,1,1,0
서호꽃뫼공원,1,1,1,0
향호해변,1,1,0,1
황령산레포츠공원,1,1,1,0
황우치해변,1,1,0,0
고운뜰공원,0,1,1,0
광품폭포,0,1,0,0
맥도생태공원,1,0,1,0
부락산분수공원,0,1,1,0
새밭계곡,1,1,0,0
수타사계곡,0,1,0,0
순개울해변,1,1,0,0
오정산,0,1,0,0
원효계곡,0,1,0,0
켄싱턴해변,1,1,0,0
훈련원공원,1,1,1,0
구포어린이교통공원,1,1,1,0
군위삼존석굴,0,1,1,0
낙지공원,0,1,1,0
농소몽돌해수욕장,0,1,0,0
사촌해수욕장,1,1,1,0
강문해수욕장,1,1,0,0
광명공원,1,1,1,0
남망산조각공원,0,1,1,0
도봉계곡,0,1,0,0
법천소공원,1,1,1,0
송호해수욕장,1,1,0,0
신대계곡,0,1,0,0
제암산,1,0,0,1
계남근린공원,1,1,1,0
대부도공원,1,1,1,0
모상개해수욕장,1,1,0,0
성치산,1,1,0,0
세병관,1,1,1,1
인제나르샤파크,0,1,0,0
천전리각석,1,1,1,0
황포해수욕장,1,1,1,0
희방폭포,0,1,1,0
금병산,1,0,1,1
대둔산도립공원,0,1,1,0
도원계곡,0,1,1,0
막동계곡,0,1,0,0
봉담호수공원,1,1,1,0
시민의숲,1,1,1,0
제부랜드,1,1,1,0
행주산성공원,1,1,1,0
가은산,1,0,1,1
갈기산,1,0,0,1
광안비치랜드,0,1,1,1
마중공원,1,1,1,0
백운동계곡,0,1,0,0
비음산,1,0,0,1
조종천계곡,0,1,0,0
큰엉,1,1,1,1
삼방산,1,0,1,1
공작산,1,1,1,0
국채보상공원,1,1,1,1
미추홀공원,1,1,1,0
설화산,1,1,1,1
이성산성,1,1,1,0
금원산,0,1,1,1
밤벌유원지,1,1,1,0
에덴밸리루지,0,1,1,0
운주산,1,1,1,0
계명산,1,1,1,0
관산,1,1,1,0
덕주산성,1,1,1,1
산동교친수공원,1,1,1,0
용연폭포,0,1,1,0
의성산운생태공원,1,1,1,0
통방산,0,1,0,0
매봉산공원,1,1,1,1
비수구미계곡,0,1,0,0
서대문독립공원,1,1,1,0
영진해수욕장,0,1,0,0
운계폭포,0,1,0,0
정병산,1,0,1,1
회문산,1,1,1,0
곤충농장,0,1,1,0
노추산,0,1,1,0
수락폭포,0,1,0,0
학산공원,1,1,1,0
해맞이공원,1,0,0,1
생명의숲,1,1,0,0
아홉산,1,0,0,0
와동체육공원,1,1,1,0
율곡습지공원,1,0,1,0
갑사계곡,0,1,0,0
금수문화공원,1,0,0,0
명동공원,1,1,1,1
복하천수변공원,1,0,1,0
상비리계곡,0,1,0,0
설산,0,0,1,1
안성맞춤가족공원,0,1,1,0
홍연폭포,0,1,0,0
극락전,1,0,1,1
내원암계곡,0,1,0,0
밀양생태공원,0,1,1,0
서귀포칠십리시공원,0,1,1,0
연천고랑포구역사공원,0,1,1,0
장수누리파크,0,1,1,0
해명산,1,1,1,1
금성산,1,0,1,1
발포해수욕장,1,1,1,0
불모산,1,0,1,0
성서체육공원,1,1,1,0
연하계곡,0,1,1,0
옥포대첩기념공원,1,1,1,0
용마공원,1,1,1,0
월곡역사공원,1,0,0,0
금대계곡,0,1,0,0
당너머해수욕장,1,1,1,0
봉암갯벌생태학습장,0,1,1,1
봉평해수욕장,1,1,0,0
오정대공원,1,1,1,0
체력단련장,1,0,1,0
건릉,1,0,0,1
가계해수욕장,0,1,1,0
가령폭포,0,1,1,0
벽방산,1,1,1,1
사화공원,1,0,1,1
양지암조각공원,1,1,0,0
역삼공원,1,1,1,0
청운공원,1,1,1,0
갈월계곡,0,1,0,0
기백산,0,1,0,1
도시숲,1,1,1,0
물안해수욕장,1,1,0,0
분계해수욕장,1,1,0,0
사명산,1,1,1,1
안말어린이공원,0,1,0,0
암산유원지,0,0,0,1
앞산공원,1,1,1,0
용평피크아일랜드,1,1,0,0
운봉산,1,0,1,1
증평별천지공원,1,1,1,0
흑석유원지,1,1,1,0
관악산호수공원,0,1,1,0
노작공원,1,0,1,0
법화산,1,1,1,0
수하계곡,0,1,0,0
신트리공원,1,0,1,1
왕궁리5층석탑,1,1,1,1
장안해수욕장,1,1,1,0
황룡친수공원,1,0,1,0
고선계곡,0,1,0,0
광탄리유원지,1,1,1,0
낙대폭포,0,1,1,0
동래사적공원,1,1,1,0
범어공원,1,1,1,0
성남공원,1,1,1,0
지산체육공원,1,1,1,0
가람유원지,0,1,0,0
검봉산,1,1,1,0
고령산,1,1,1,1
삼무공원,1,1,1,0
신석체육공원,1,0,0,0
실미해수욕장,1,1,1,0
양지공원,1,0,1,0
어라연계곡,0,1,0,0
천마산계곡,0,1,0,0
통도사계곡,0,1,0,0
목련공원,0,0,1,1
민주공원,1,0,0,0
연암공원,1,1,1,0
주전골,1,0,1,0
망월산,1,0,1,1
금산공원,1,1,1,0
노들나루공원,1,1,1,0
다산문화공원,0,1,1,0
미천골계곡,0,1,0,0
새암공원,1,1,0,0
성산공원,1,1,1,0
세계평화의숲,1,1,0,0
잠실공원,1,1,1,0
함목해수욕장,0,1,1,0
황학산,1,0,1,1
금진해수욕장,0,1,1,0
문형산,1,1,1,0
설악해맞이공원,0,1,1,1
하저해수욕장,1,1,0,0
화림동계곡,0,1,1,0
희망대공원,1,1,1,0
강서체육공원,1,0,1,0
남부수자원생태공원,1,1,1,0
덕포해수욕장,1,1,1,0
신불산군립공원,1,1,1,0
용곡공원,1,1,1,0
용지동계곡,0,1,0,0
입암산,1,0,1,0
중산공원,1,1,1,0
늘봄공원,1,1,1,0
운주산성,1,1,1,1
포항해상공원,1,1,1,1
해마루공원,0,1,1,0
호명호수공원,0,1,1,0
띠섬목해변,0,1,1,0
상리공원,1,1,1,0
송학산,1,0,1,1
염포해수욕장,1,1,0,0
외달도해수욕장,0,1,0,0
일연공원,0,1,1,0
일원에코파크,0,1,0,0
달맞이봉공원,1,1,1,0
대광해수욕장,1,1,1,0
마산공원,1,0,1,0
비선대,0,1,1,0
솔빛,0,0,1,1
정읍사공원,1,0,1,0
김해시민체육공원,1,1,1,0
바람개비골유원지,0,1,0,0
보문산성,1,1,0,0
사정공원,1,1,1,0
자굴산,1,1,1,1
평촌자유공원,1,1,1,0
까치산공원,1,1,1,0
냉천골,0,1,0,0
매월대폭포,0,1,1,0
배수지공원,1,1,1,0
복사골공원,0,1,0,0
쌍용산장,1,1,0,0
에덴공원,1,1,1,1
탄도인공습지공원,1,1,1,0
화도진공원,1,1,1,0
후포해변,1,1,1,1
각흘계곡,0,1,0,0
강남공원,1,1,1,0
고대지구근린공원,1,1,1,0
구덕산,1,0,1,1
빈계산,1,1,1,1
소백산하늘자락공원,0,1,1,0
월아산,1,0,0,0
일월공원,1,1,1,0
장안공원,1,0,1,0
청담배수지공원,1,1,1,0
대천공원,1,1,1,0
도드람산,1,1,1,0
명달계곡,0,1,0,0
여근곡,1,1,0,1
여울공원,1,1,1,0
장신유원지,0,1,0,0
청널공원,1,1,1,0
최정산,0,1,1,0
하동포구공원,1,1,1,0
다사체육공원,1,1,1,0
덕진체련공원,1,0,1,1
두여해수욕장,1,1,1,0
망우공원,1,0,1,0
부영공원,1,1,0,0
북광장,1,1,1,1
수산유원지,0,1,1,0
침산공원,1,0,0,0
황매산군립공원,1,0,1,0
비계산,1,1,1,1
경암근린공원,1,1,1,0
대천천계곡,0,1,0,0
동곡계곡,0,1,0,0
방화근린공원,1,0,1,0
북한산생태공원,1,1,1,0
사동해수욕장,0,1,0,0
신안튤립공원,1,0,1,0
억수계곡,0,1,0,0
응봉체육공원,0,0,1,0
매바위인공폭포,0,1,1,0
정발산공원,1,1,1,0
화암카트체험장,1,1,1,0
금천계곡,0,1,0,0
꽃지해안공원,1,0,0,1
산수계곡,0,1,0,0
살곶이체육공원,1,1,1,0
석문공원,0,1,1,0
쇠목계곡,0,1,0,0
신흥해수욕장,1,1,1,0
용문사계곡,0,1,0,0
장등해수욕장,0,1,1,0
정양늪생태공원,1,1,1,0
거징이쉼터,1,1,1,0
공룡발자국공원,0,1,1,0
구절산,1,1,1,1
노산공원,0,1,1,1
대림동산,1,0,1,0
밤나무유원지,0,1,0,0
연인산도립공원,0,1,1,0
오도1리해수욕장,0,1,0,0
직지문화공원,1,1,1,0
팔각산,1,0,1,0
개나리공원,1,0,1,0
고석정랜드,1,1,1,0
다람산공원,1,1,1,0
백석탄계곡,0,1,0,0
암사역사공원,0,1,1,1
어비산,0,1,1,0
웅천친수공원,1,1,1,0
장군목유원지,0,1,1,0
중광정해수욕장,1,1,0,0
하동공원,1,1,1,0
운제산,1,1,1,0
관매도해수욕장,0,1,0,0
망산,1,1,1,0
바위산,1,1,1,1
서해안바람공원,0,1,1,0
양재근린공원,1,1,1,0
옥정공원,1,1,1,0
고덕수변생태공원,1,1,1,0
구만폭포,0,1,0,0
내리계곡,0,1,0,0
노적봉공원,1,1,1,0
도장산,0,1,1,0
부산유라시아플랫폼,1,1,1,1
서울한양도성,1,1,1,0
신지명사십리해수욕장,0,1,0,0
통고산,0,1,1,0
황송공원,1,1,0,0
거북공원,1,1,1,0
구미산,1,0,1,1
노가리해수욕장,1,1,1,0
대룡산,0,1,1,1
덕산도립공원,1,1,1,0
빛가람호수공원,1,1,1,0
상계폭포,0,1,0,0
스튜디오큐브,0,0,1,1
오랑대공원,1,1,1,1
함주공원,1,1,1,0
걸매생태공원,1,0,0,1
공현진2리해수욕장,0,1,0,0
광교역사공원,1,1,1,0
동대산,0,1,1,0
명봉산,1,1,1,0
양산호수공원,1,1,0,0
토곡산,1,1,1,1
대청호반자연생태공원,0,1,1,0
섬강유원지,0,1,1,0
숙지공원,1,1,1,0
안산도시자연공원,1,1,1,0
완산공원,1,0,0,0
월명공원,1,1,1,0
종달리해수욕장,0,1,0,0
향기원,1,0,1,1
가창체육공원,1,1,1,0
거북선공원,0,1,1,0
대신공원,1,1,0,0
대한민국술테마박물관,0,1,1,0
상현레스피아,1,1,1,0
신도해수욕장,0,1,0,0
웅상체육공원,1,1,0,0
추포해수욕장,0,1,1,0
화학산,1,1,1,0
구암공원,1,1,1,0
금정산성다목적광장,1,1,1,0
내장산조각공원,0,1,1,0
두모몽돌해수욕장,0,1,1,0
발바닥공원,1,1,1,0
세천유원지,1,1,0,0
신재생에너지테마파크,0,1,1,0
오봉계곡,0,1,0,0
용수폭포,0,1,0,0
유엔평화공원,1,1,1,0
초안산근린공원,1,1,1,0
사육신묘,1,1,1,0
엑스포공원,1,1,1,0
이천온천공원,1,1,1,0
횡성베이스볼테마파크,0,1,1,0
518기념공원,1,0,1,0
검마산,0,1,1,0
교통공원,1,0,1,0
구로거리공원,1,1,0,0
구봉대산,1,1,1,1
백운공원,1,1,1,0
별천지공원,1,1,1,0
운장산계곡,0,1,0,0
월배체육공원,0,1,1,0
인왕산수성동계곡,1,1,0,0
친수공원,1,0,1,0
것대산,1,1,1,0
고기리유원지,1,1,0,0
덕수공원,1,1,1,0
마장공원,1,1,1,0
백천계곡,0,1,1,0
옥돌해수욕장,1,1,0,0
평화의광장,1,0,1,1
흥환해수욕장,0,1,1,0
백이산,1,1,1,0
낙생대공원,1,1,1,0
백석산,1,1,0,0
오두산성,1,1,1,0
평대해수욕장,1,1,0,0
간월호쉼터공원,0,1,1,0
경기평화광장,1,1,1,1
구목정공원,1,1,0,0
궁동공원,1,1,1,1
금천체육공원,1,0,1,0
사가정공원,1,1,1,0
쇠평어린이공원,1,1,1,0
신기공원,1,1,1,0
아흔아홉골,1,1,1,0
오목공원,0,0,1,1
운달산,1,1,1,0
정자해수욕장,1,1,0,1
종남산,1,0,1,0
천마총금관,1,1,1,0
함상공원,1,1,1,0
합천대야성,1,1,1,0
호암지생태공원,0,1,1,0
망치해수욕장,1,1,0,0
민락공원,1,1,1,0
소남머리,0,1,1,0
우도등대공원,0,1,1,0
우장산공원,1,1,1,0
중원폭포,0,1,0,0
학익에코테마파크,1,1,1,0
강화산성,1,0,1,0
경정해수욕장,0,1,0,0
면천읍성,1,1,1,0
방선문계곡,1,1,0,0
배알도해수욕장,0,1,0,0
삼일공원,1,1,1,1
아시아공원,0,0,1,0
야시골공원,1,1,1,0
오수의견공원,1,1,1,0
일산문화공원,1,0,1,1
까치공원,1,1,1,0
남군자산,1,1,1,0
독산자연공원,1,1,1,0
불국사다보탑,1,1,1,0
오이도공원,1,1,1,0
임학공원,1,1,1,0
제석산,1,1,0,1
지암계곡,0,1,0,0
천경대,1,1,1,0
금강습지생태공원,0,1,1,0
들성생태공원,1,1,1,0
반월공원,1,0,1,0
신촌유원지,1,1,1,0
여항산,1,0,1,0
영프라자,1,0,1,1
용지공원,1,1,1,0
자성대공원,0,1,1,0
지도공원,1,1,1,0
탑골생태공원,1,1,1,0
한강드론공원,1,1,1,0
광양항해양공원,0,1,1,0
딴산유원지,1,1,1,0
망양해수욕장,0,1,1,0
매화산,1,0,1,0
북바위산,1,1,1,0
서생포왜성,1,0,0,0
용하구곡,0,1,0,0
월봉산,1,0,1,1
죽림해수욕장,1,1,1,0
청간해수욕장,0,1,0,0
통진레코파크,1,1,1,0
75광장,1,1,1,0
개운산공원,1,1,1,0
고강선사유적공원,1,1,1,0
구룡산장승공원,0,1,1,0
상도근린공원,1,1,1,0
영리해수욕장,0,1,0,0
온뜨레피움,1,0,1,1
운여해수욕장,1,1,1,1
정동공원,1,1,1,0
평촌공원,1,1,1,0
학성공원,1,0,1,0
함지공원,1,1,0,0
거류산,1,0,1,1
강당계곡,0,1,0,0
낙영산,1,1,1,0
남지체육공원,1,0,1,0
당산공원,1,1,1,1
돝섬해상유원지,1,1,1,0
마시안해수욕장,1,1,1,0
밤밭청개구리공원,1,1,0,0
소공원,1,0,1,0
오네또해피랜드,1,1,0,0
용안생태습지공원,0,1,1,0
용연사계곡,0,1,0,0
해오름공원,1,1,1,0
가마골계곡,0,1,0,0
독용산성,1,1,1,0
봉대산,1,1,1,1
산성계곡,1,1,0,0
선원공원,1,1,1,0
여궁폭포,0,1,1,0
용인중앙공원,1,0,0,0
증산체육공원,1,1,1,1
포암산,1,1,1,0
하추리계곡,0,1,0,0
해상공원,1,1,1,0
허브천문공원,1,1,1,0
현리유원지,0,1,0,0
환호해맞이공원,1,0,1,1
갑장산,1,1,1,0
공양왕릉,1,0,1,1
낭하리해변,1,1,1,0
말죽거리공원,1,1,1,1
사근진해수욕장,0,1,0,0
소사대공원,1,1,1,0
오치골공원,1,0,1,0
용봉정근린공원,0,1,1,0
조치원문화정원,1,1,1,0
테마공원,1,0,1,0
교암해수욕장,0,1,1,0
군탄공원,1,1,1,0
그린공원,1,1,1,0
김포레코파크,1,1,1,0
방동약수,0,1,1,0
성불계곡,0,1,0,0
세계모란공원,1,1,1,0
안중레포츠공원,1,1,1,0
여기산공원,1,1,1,0
오조산공원,1,1,0,0
오층석탑,1,1,0,0
작천계곡,0,1,0,0
정수산,1,0,1,1
중봉,1,1,1,0
팔당팔화수변공원,1,1,1,0
항공우주테마공원,0,1,1,0
가막들공원,1,1,1,0
경포호수광장,1,1,0,0
공작산생태숲,0,1,1,0
도리산전망대,0,1,1,0
독산근린공원,1,1,1,0
박지산,0,1,1,0
백범광장,1,0,1,0
북병산,0,1,1,1
불국사삼층석탑,1,1,1,0
산수리계곡,0,1,0,0
선돌공원,1,1,1,0
수레의산,1,0,1,0
신성계곡,0,1,0,0
억불산,1,0,1,1
연수체육공원,1,0,1,1
용두연유원지,1,1,1,0
인계예술공원,1,1,1,0
찰비계곡,0,1,0,0
천왕근린공원,1,1,1,0
청풍마리나,0,1,0,0
국제평화아트파크,0,1,1,0
강변공원,0,0,1,0
구영해수욕장,1,1,1,0
다남공원,1,1,1,0
만산동계곡,0,1,0,0
먼동해수욕장,0,1,0,0
벌말어린이공원,1,1,1,0
봉황대공원,1,0,1,0
봉황산,1,0,1,1
선운산도립공원,0,1,1,0
성불산,1,0,1,0
송정솔바람해수욕장,0,1,1,0
용암광장,1,1,0,1
울산애견공원,0,1,1,0
의암공원,1,1,1,0
장성공원,1,1,1,0
청계중앙공원,1,1,1,0
하남체육공원,1,1,1,0
흑성산성,0,1,1,0
APEC나루공원,1,0,1,0
곡운구곡,1,1,1,0
궁촌해수욕장,0,1,0,0
나로우주해수욕장,1,1,1,0
동산항해수욕장,0,1,0,0
미관광장,1,1,1,0
사라수변공원,1,1,1,0
옥정체육공원,1,1,1,0
은파유원지,1,0,1,0
지산공원,1,0,1,0
천마산군립공원,1,1,1,0
탑동공원,1,1,1,0
횡성문화체육공원,0,1,1,0
구드래조각공원,1,1,1,0
귀목계곡,0,1,0,0
단석산,1,1,1,0
독봉산웰빙공원,1,1,0,0
미천공원,1,1,0,0
복계산,1,1,1,0
산성산,1,1,1,1
선유담계곡,0,1,0,0
연화산도립공원,0,1,1,0
옥포랜드,1,1,0,0
재약산주암계곡,0,1,0,0
정자공원,1,1,1,0
죽미체육공원,1,1,1,0
호계공원,0,1,1,0
홍류폭포,0,1,1,0
갈미한글공원,1,1,1,0
기마인물형토기,1,1,1,1
덕천해수욕장,0,1,0,0
만연폭포,0,1,1,0
무지개공원,1,1,1,0
미약골,1,1,1,0
백둔계곡,0,1,0,0
봉미산,1,1,1,0
선암계곡,0,1,0,0
수양산,1,1,1,1
오송폭포,0,1,1,0
용두사지철당간,1,0,0,0
증산해수욕장,0,1,1,0
청솔공원,0,0,1,1
한국SGI평화공원,0,1,1,1
고성연화계곡,0,1,0,0
까치산근린공원,1,1,1,0
당진농심테마파크,1,1,1,0
도고산,1,1,1,1
독바위공원,1,1,1,0
용담계곡,0,1,0,0
위도해수욕장,0,1,1,0
개금테마공원,1,1,1,0
거제랜드,1,0,1,0
덕진광장,1,0,1,1
마적산,1,0,1,1
마천산산림욕장,0,1,1,0
메타세콰이어숲,0,1,1,0
모악랜드,0,0,0,1
부연동계곡,0,1,0,0
송도오션파크,1,0,1,1
암사생태공원,1,0,1,0
육담폭포,0,1,1,0
초전공원,1,1,1,0
한마음공원,1,1,1,0
갈목해수욕장,0,1,0,0
고복자연공원,1,1,1,0
남양공원,1,1,1,1
